数据分析师助理,93%,华壹信融投资管理(北京)有限责任公司,8001-10000,北京,最新,   我们通常只关注自己熟悉的行业和我们能够驾驭的工作，与此同时，有没有想过我们+关注的行业还有多少发展和上升空间，同样都是工作8小时，为什么别人能挣1-2万而自己还在为7-8千纠结，外面的世界很精彩，走出来看看吧 我们可以很负责的说只要敢于迎接挑战，月薪1-2万只是个起点！！   华壹信融欢迎你的...,http://jobs.zhaopin.com/240509239301306.htm
数据分析师,98%,浙江齐聚科技有限公司北京分公司,10001-15000,北京,最新,  岗位职责：  1. 制作常规报表，监控核心数据指标，对公司业务数据进行管理  2. 负责相关业务线产品的用户分析，营收分析，行为分析、活动效果评估等，产出相应报告，为产品优化和业务运营提供支持  3. 监测并分析行业竞品情况，收集并解读相关用户和市场研究报告/信息，为公司产品规划提供支持  4....,http://jobs.zhaopin.com/329225217252142.htm
公司直聘{数据分析师助理}，底薪6K起,99%,北京万向卓迹商贸有限公司,6001-8000,北京-朝阳区,最新,  您是毕业生还是想转行，只要您对金融感兴趣，录取后会有岗前培训       岗位职责  ：辅助经理做分析工作，针对金融外汇市场数据统计和分析。   工作性质：偏文职偏技术   薪酬福利 ： 1、薪酬：6K底薪+高额提成+交通补助+奖金+带薪年假+节日福利+生日福利+社会保险  2、普通员工平均月收...,http://jobs.zhaopin.com/409386535251358.htm
岗位编码003：医学数据分析师,96%,健和九州(北京)科技有限公司,10000-20000,北京-朝阳区,最新,  岗位职责：  1.对全国范围内的流行病学调查数据进行清洗、整理、分析，挖掘数据价值、撰写分析报告，为政府决策提供数据支持。  2.重点对各个医院实际临床数据（包括病案首页、检查检验、电子病历等数据）进行前期的标准化和结构化处理，再根据临床需求和指南进行医疗质量控制、辅助决策方面的建模分析。  3...,http://jobs.zhaopin.com/516616229250085.htm
6k+双休+五险+无销售 诚聘数据分析师助理,100%,北京万向卓迹商贸有限公司,6001-8000,北京-朝阳区,最新,   【职位简介与薪酬】     数据分析师助理    1..有很强的自我调控能力，纪律严格。  3..有一定的学习能力。  4..对金融行业感兴趣。  5..辅助经理分析金融数据信息。  5..敢于迎接挑战、能独立承受压力、完成公司交赋的工作任务。  6..具有自信、冷静、理智、果断...,http://jobs.zhaopin.com/409386535251408.htm
数据分析师,99%,全信合信息技术(大连)有限公司,5500-11000,大连,最新,    工作职责            1  、分析业务数据，助力市场拓展；      2  、依据业务数据，调整营销方案；      3  、为指定市场的业务表现负责；          任职资格           全信合的用人理念是关注德、才、学的三者平衡，本科以上学历是必须的，我们不在乎您所...,http://jobs.zhaopin.com/519190831250001.htm
金融数据分析师（实习生）,92%,北京联科博远教育科技有限公司,8001-10000,北京,最新,   岗位职责：     1  、数据统计；      2  、数据挖掘与分析；      3  、数据咨询；      4  、分析报告撰写。          岗位要求：     1  、熟练使用  SPSS  （或  R   ）及常用办公软件；      2  、对统计分析软件有一定了解；  ...,http://jobs.zhaopin.com/CZ638945620J00048613413.htm
数据分析师/数据挖掘师,100%,福州咸鱼科技有限公司,8000-15000,福州-仓山区,最新,  岗位职责：  1、录入数据库的设立，数据的校验，数据库的逻辑查错； 2、协调管理统计信息系统，维护和更新统计数据平台； 3、结合统计指标体系，完善和改进统计方法； 4、做好统计资料的保密和归档。     任职要求：  1、统计学相关专业硕士及以上学历；   2、 有统计相关领域工作经验者优先； ...,http://jobs.zhaopin.com/469994888250233.htm
土木转行9k大数据分析师（实习岗）,95%,北京联科博远教育科技有限公司,8001-10000,北京,最新,   岗位要求： 1.完成系统指定模块的设计编码工作； 2.与技术团队共同参与，项目规划、项目策划、需求完善等沟通工作； 3.确保系统平台技术编码的合理性，技术文档齐备； 4.完成软件需求说明书的编写等工作; 5.具有良好的学习能力，能够快速在团队中成长起来满足开发需求； 6.完成技术部安排的其他工...,http://jobs.zhaopin.com/CZ638945620J00048539313.htm
无销售性金融数据分析师助理,100%,北京万向天乾科技有限公司,6001-8000,北京-宣武区,最新,   职位描述 :   为培养公司未来金融管理人员，吸纳新鲜力量，积极进行人才储备，实现永续经营并分享成功。公司正式启动人才储备项目，为有能力的金融类应聘者提供培训方案，并在公司的核心岗位进行轮值，使他们能够快速成长，适应市场，合格的应聘人员将择优录取，作为公司重要的储备人才。      岗位职责：...,http://jobs.zhaopin.com/371117782250558.htm
金融数据分析师助理,100%,北京万向天乾科技有限公司,6001-8000,北京,最新,       想要付出多少努力，就已经定格好要赚多少钱。            分析是一个新兴的职位，大多数人对这个职位都不太熟悉，所以一个专业的培训体系对分析的成长是最重要的。       工作内容：                                               1....,http://jobs.zhaopin.com/371117782250560.htm
